M,CdX,Doping Site,?H(Cd-rich),?H(Mod),?H(Te-rich),(+3/+2),(+2/+1),(+1/0),(0/-1),(-1/-2),(-2/-3),,Descriptors -->,Period,Group,Site,Delta Ion. Rad.,Delta At. Wt.,Delta Cov. Rad.,Delta Ion. En.,Delta At. Rad.,Delta EA,Delta EN,Delta At. Num.,Delta Val.,# Cd Neighbors,# Te Neighbors,Corrected VBM (eV),Corrected CBM (eV),?H(Cd-rich),?H(Mod),?H(Te-rich)
Bi,CdTe,M_Cd,2.043,1.569,1.691,-0.741,-0.425,1.333,1.761,2.124,2.536,,,6,15,0,0.08,96.5704,0.05,-164.4,0.211,110,0.33,35,3,0,4,3.514,3.499,2.166,1.692,1.815
O,CdTe,M_Cd,5.596,4.648,3.952,-0.847,-0.537,0.003,0.003,0.741,1.998,,,2,16,0,0.45,-96.4106,-0.68,446.2,-0.759,141.1,1.75,-40,0,0,4,1.999,2.059,5.424,4.476,3.781
S,CdTe,M_Cd,5.043,4.095,3.147,-0.734,-1.556,0.433,0.433,1.081,2.035,,,3,16,0,-0.66,-80.344,-0.39,131.88,-0.219,200.42,0.89,-32,4,0,4,2.557,2.542,4.544,3.596,2.648
Se,CdTe,M_Cd,4.609,3.661,2.713,-0.748,0.132,0.625,1.171,1.849,2.339,,,4,16,0,-0.45,-33.45,-0.25,73.2,-0.089,194.96,0.86,-14,4,0,4,2.761,2.746,4.114,3.166,2.218
Te,CdTe,M_Cd,4.189,3.241,2.292,-0.684,0.353,0.875,1.360,1.959,2.429,,,5,16,0,0.02,15.19,-0.05,1.5,0.111,190.15,0.41,4,4,0,4,3.045,3.030,3.840,2.892,1.944
F,CdTe,M_Cd,5.079,4.368,3.657,-0.831,-0.556,-0.244,0.390,0.945,1.452,,,2,17,0,0.38,-93.4116,-0.69,813.3,-0.769,328,2.29,-39,-1,0,4,1.728,1.713,4.942,4.231,3.520
Cl,CdTe,M_Cd,4.694,3.983,3.272,-0.732,-0.416,0.015,0.787,1.434,2.030,,,3,17,0,0.86,-76.9573,-0.42,383.4,-0.499,348.8,1.47,-31,5,0,4,2.269,2.254,4.453,3.742,3.031
Br,CdTe,M_Cd,4.532,3.821,3.110,-0.699,-0.816,0.617,0.933,1.579,2.185,,,4,17,0,1.01,-32.506,-0.27,272.2,-0.349,324.6,1.27,-13,5,0,4,2.560,2.545,4.336,3.625,2.914
I,CdTe,M_Cd,4.436,3.725,3.014,-1.006,-0.256,0.796,1.173,1.750,2.379,,,5,17,0,1.25,14.4945,-0.08,140.7,-0.159,295.3,0.97,5,5,0,4,2.858,2.843,4.384,3.673,2.962
Sc,CdTe,M_Cd,1.355,1.592,1.830,-0.814,-0.526,1.197,1.699,2.071,2.431,,,4,3,0,-0.2,-67.4541,0.03,-236.7,0.117,18.1,-0.33,-27,1,0,4,3.348,3.333,1.464,1.701,1.939
Ti,CdTe,M_Cd,1.234,1.486,1.962,-0.815,0.113,0.611,1.523,1.941,2.345,,,4,4,0,-0.34,-64.53,-0.09,-209.7,-0.041,20,-0.15,-26,2,0,4,2.940,2.925,1.350,1.602,2.078
V,CdTe,M_Cd,1.352,1.356,1.748,-0.744,-0.465,0.646,1.321,1.905,2.267,,,4,5,0,-0.41,-61.4685,-0.19,-217.7,-0.168,50,-0.06,-25,3,0,4,2.722,2.707,1.330,1.333,1.725
Cr,CdTe,M_Cd,0.983,1.148,1.440,-0.843,-0.362,0.124,0.833,1.833,2.267,,,4,6,0,-0.33,-60.414,-0.23,-214.9,-0.24,64,-0.03,-24,4,0,4,2.210,2.195,0.893,1.058,1.350
Mn,CdTe,M_Cd,0.071,0.071,0.260,-0.853,-0.557,-0.214,1.461,1.996,2.356,,,4,7,0,-0.28,-57.472,-0.24,-150.3,-0.249,0,-0.14,-23,5,0,4,1.931,2.786,0.194,0.194,0.383
Fe,CdTe,M_Cd,1.122,1.122,1.555,-0.861,-0.538,0.234,0.943,1.754,2.176,,,4,8,0,-0.4,-56.563,-0.24,-108.4,-0.248,24,0.14,-22,4,0,4,2.211,2.196,1.076,1.076,1.509
Co,CdTe,M_Cd,0.956,0.963,1.439,-0.928,-0.609,-0.259,0.939,1.671,2.148,,,4,9,0,-0.3,-53.4768,-0.25,-109.7,-0.236,70,0.19,-21,1,0,4,1.542,1.527,1.176,1.183,1.659
Ni,CdTe,M_Cd,2.282,1.551,1.768,-0.893,-0.511,-0.071,0.558,1.255,2.084,,,4,10,0,-0.26,-53.7166,-0.26,-131,-0.243,111,0.22,-20,1,0,4,1.879,1.864,2.355,1.624,1.840
Cu,CdTe,M_Cd,2.151,1.115,0.922,-0.943,-0.537,-0.231,0.142,1.753,2.191,,,4,11,0,-0.22,-48.954,-0.24,-122.3,-0.211,118.3,0.21,-19,0,0,4,1.542,1.527,2.231,1.196,1.002
Zn,CdTe,M_Cd,0.219,0.219,0.220,-0.853,-0.575,-0.251,1.453,1.912,2.298,,,4,12,0,-0.21,-47.02,-0.16,38.7,-0.157,0,-0.04,-18,0,0,4,1.668,2.733,0.300,0.300,0.301
Y,CdTe,M_Cd,1.123,1.396,2.113,-0.750,-0.438,1.308,1.776,2.179,2.689,,,5,3,0,0.07,-23.5041,0.21,-251.7,0.321,0,-0.47,-9,1,0,4,3.654,3.639,1.365,1.639,2.355
